order_id,order_date,ship_date,customer_id,customer_name,segment,city,state,region,total_sales,total_items,total_discount,total_profit,num_products
CA-2014-100006,9/7/2014,9/13/2014,DK-13375,Dennis Kane,Consumer,New York City,New York,East,377.97,3,0.0,109.6113,1
CA-2014-100090,7/8/2014,7/12/2014,EB-13705,Ed Braxton,Corporate,San Francisco,California,West,699.192,9,0.4,-19.089,2
CA-2014-100293,3/14/2014,3/18/2014,NF-18475,Neil Französisch,Home Office,Jacksonville,Florida,South,91.056,6,0.2,31.8696,1
CA-2014-100328,1/28/2014,2/3/2014,JC-15340,Jasper Cacioppo,Consumer,New York City,New York,East,3.928,1,0.2,1.3257,1
CA-2014-100363,4/8/2014,4/15/2014,JM-15655,Jim Mitchum,Corporate,Glendale,Arizona,West,21.376,5,0.4,7.7192,2
CA-2014-100391,5/25/2014,5/29/2014,BW-11065,Barry Weirich,Consumer,New York City,New York,East,14.62,2,0.0,6.7252,1
CA-2014-100678,4/18/2014,4/22/2014,KM-16720,Kunst Miller,Consumer,Houston,Texas,Central,697.074,11,0.9,61.7937,4
CA-2014-100706,12/16/2014,12/18/2014,LE-16810,Laurel Elliston,Consumer,Springfield,Virginia,South,129.44,8,0.0,17.7202,2
CA-2014-100762,11/24/2014,11/29/2014,NG-18355,Nat Gilpin,Corporate,Jackson,Michigan,Central,508.62,11,0.0,219.0774,4
CA-2014-100860,3/26/2014,3/30/2014,CS-12505,Cindy Stewart,Consumer,Pomona,California,West,18.75,5,0.0,9.0,1
CA-2014-100867,10/19/2014,10/24/2014,EH-14125,Eugene Hildebrand,Home Office,Lakewood,California,West,321.552,6,0.2,20.097,1
CA-2014-100881,3/28/2014,4/1/2014,DR-12940,Daniel Raglin,Home Office,Albuquerque,New Mexico,West,302.376,3,0.2,22.6782,1
CA-2014-100895,6/2/2014,6/6/2014,SV-20785,Stewart Visinsky,Consumer,Roswell,Georgia,South,605.47,7,0.0,176.9272,3
CA-2014-100916,10/21/2014,10/26/2014,FH-14275,Frank Hawley,Corporate,Newport News,Virginia,South,788.86,10,0.0,122.9662,3
CA-2014-100972,11/19/2014,11/24/2014,DB-13360,Dennis Bolton,Home Office,Salt Lake City,Utah,West,166.44,3,0.0,79.8912,1
CA-2014-101147,12/2/2014,12/4/2014,MC-17575,Matt Collins,Consumer,Chicago,Illinois,Central,2.394,1,0.8,-6.3441,1
CA-2014-101175,12/9/2014,12/14/2014,DM-12955,Dario Medina,Corporate,Mesa,Arizona,West,100.704,6,0.2,-1.2588,1
CA-2014-101266,8/27/2014,8/30/2014,MM-17920,Michael Moore,Consumer,Springfield,Virginia,South,13.36,2,0.0,6.4128,1
CA-2014-101364,12/22/2014,12/26/2014,TW-21025,Tamara Willingham,Home Office,New York City,New York,East,296.712,13,0.2,100.1403,1
CA-2014-101392,12/7/2014,12/13/2014,AS-10630,Ann Steele,Home Office,Seattle,Washington,West,269.36,7,0.0,70.0336,1
CA-2014-101427,12/26/2014,12/30/2014,AY-10555,Andy Yotov,Corporate,Philadelphia,Pennsylvania,East,8.016,3,0.2,1.1022,1
CA-2014-101462,4/20/2014,4/25/2014,BP-11230,Benjamin Patterson,Consumer,Los Angeles,California,West,59.92,4,0.0,27.5632,1
CA-2014-101476,9/12/2014,9/13/2014,SD-20485,Shirley Daniels,Home Office,New Rochelle,New York,East,69.99,1,0.0,30.0957,1
CA-2014-101560,11/28/2014,12/1/2014,CS-12250,Chris Selesnick,Corporate,Columbia,South Carolina,South,542.34,19,0.0,110.8402,4
CA-2014-101602,12/15/2014,12/18/2014,MC-18100,Mick Crebagga,Consumer,El Paso,Texas,Central,803.96,8,0.5,-30.961,2
CA-2014-101770,3/31/2014,4/4/2014,KB-16240,Karen Bern,Corporate,Miami,Florida,South,1.869,1,0.7,-1.3083,1
CA-2014-101833,11/17/2014,11/22/2014,FG-14260,Frank Gastineau,Home Office,New York City,New York,East,34.44,3,0.0,17.22,1
CA-2014-101931,10/28/2014,10/31/2014,TS-21370,Todd Sumrall,Corporate,Los Angeles,California,West,1252.602,17,0.35,18.614,5
CA-2014-102008,9/30/2014,10/4/2014,RA-19915,Russell Applegate,Consumer,New York City,New York,East,48.94,1,0.0,24.47,1
CA-2014-102085,10/4/2014,10/9/2014,JD-16015,Joy Daniels,Consumer,Seattle,Washington,West,29.24,4,0.0,13.7428,1
CA-2014-102274,11/21/2014,11/26/2014,DH-13075,Dave Hallsten,Corporate,Richmond,Kentucky,South,865.5,13,0.0,323.127,4
CA-2014-102295,11/24/2014,11/26/2014,EH-13990,Erica Hackney,Consumer,Sacramento,California,West,120.712,1,0.2,-18.1068,1
CA-2014-102330,12/29/2014,1/3/2015,AI-10855,Arianne Irving,Consumer,Brentwood,California,West,408.768,10,0.2,80.3964,2
CA-2014-102645,1/23/2014,1/28/2014,IM-15055,Ionia McGrath,Consumer,Las Vegas,Nevada,West,40.08,6,0.0,19.2384,1
CA-2014-102652,4/6/2014,4/12/2014,AY-10555,Andy Yotov,Corporate,Los Angeles,California,West,199.99,13,0.0,64.5077,4
CA-2014-102673,11/1/2014,11/5/2014,KH-16630,Ken Heidel,Corporate,Charlotte,North Carolina,South,1044.44,29,0.8,127.9659,4
CA-2014-102869,9/9/2014,9/14/2014,LC-17140,Logan Currie,Consumer,Philadelphia,Pennsylvania,East,233.244,13,1.0,-26.0068,4
CA-2014-102988,4/5/2014,4/9/2014,GM-14695,Greg Maxwell,Corporate,Alexandria,Virginia,South,4251.92,22,0.0,112.2737,5
CA-2014-103058,7/23/2014,7/24/2014,AG-10270,Alejandro Grove,Consumer,New York City,New York,East,99.98,2,0.0,7.9984,1
CA-2014-103086,10/17/2014,10/19/2014,EB-14170,Evan Bailliet,Consumer,Houston,Texas,Central,5.312,2,0.6,-1.5936,1
CA-2014-103100,12/20/2014,12/23/2014,AB-10105,Adrian Barton,Consumer,Indianapolis,Indiana,Central,1107.66,4,0.0,498.5208,2
CA-2014-103191,9/22/2014,9/27/2014,VG-21805,Vivek Grady,Corporate,Chicago,Illinois,Central,331.536,3,0.2,-82.884,1
CA-2014-103219,11/9/2014,11/13/2014,BF-11215,Benjamin Farhat,Home Office,New York City,New York,East,56.52,9,0.0,21.4776,1
CA-2014-103310,5/10/2014,5/15/2014,GM-14680,Greg Matthias,Consumer,San Jose,California,West,1769.784,14,0.4,187.6596,4
CA-2014-103317,7/5/2014,7/8/2014,DM-13525,Don Miller,Corporate,Palm Coast,Florida,South,242.546,10,1.1,14.4922,3
CA-2014-103331,8/26/2014,9/1/2014,KB-16315,Karl Braun,Consumer,Newark,Delaware,East,31.4,8,0.0,14.1098,3
CA-2014-103366,1/15/2014,1/17/2014,EH-13990,Erica Hackney,Consumer,Roswell,Georgia,South,149.95,5,0.0,65.978,1
CA-2014-103373,5/18/2014,5/24/2014,BS-11755,Bruce Stewart,Consumer,Cleveland,Ohio,East,779.796,2,0.4,-168.9558,1
CA-2014-103401,11/21/2014,11/26/2014,GR-14560,Georgia Rosenberg,Corporate,San Francisco,California,West,12.96,2,0.0,6.2208,1
CA-2014-103429,5/30/2014,6/1/2014,LW-16825,Laurel Workman,Corporate,New York City,New York,East,765.494,14,0.2,239.3599,4
CA-2014-103492,10/10/2014,10/15/2014,CM-12715,Craig Molinari,Corporate,Huntsville,Texas,Central,1488.774,19,2.0,117.4008,4
CA-2014-103527,9/9/2014,9/14/2014,CC-12220,Chris Cortes,Consumer,Chicago,Illinois,Central,10.896,3,0.2,3.405,1
CA-2014-103590,11/30/2014,12/4/2014,JL-15505,Jeremy Lonsdale,Consumer,Mount Vernon,New York,East,62.28,4,0.0,29.2716,1
CA-2014-103660,8/25/2014,8/30/2014,MW-18220,Mitch Webber,Consumer,Seattle,Washington,West,1007.944,7,0.2,75.5958,1
CA-2014-103702,9/12/2014,9/17/2014,AF-10885,Art Foster,Consumer,Fairfield,Ohio,East,63.924,7,0.7,-46.8776,1
CA-2014-103744,2/23/2014,2/27/2014,MG-17875,Michael Grace,Home Office,El Paso,Texas,Central,11.364,6,1.0,-4.5225,2
CA-2014-103800,1/3/2014,1/7/2014,DP-13000,Darren Powers,Consumer,Houston,Texas,Central,16.448,2,0.2,5.5512,1
CA-2014-103807,12/2/2014,12/9/2014,EM-13825,Elizabeth Moffitt,Corporate,Sandy Springs,Georgia,South,21.19,4,0.0,7.9958,2
CA-2014-103849,5/11/2014,5/16/2014,PG-18895,Paul Gonzalez,Consumer,Fort Worth,Texas,Central,225.016,7,1.0,-70.7293,3
CA-2014-103940,9/17/2014,9/21/2014,BN-11515,Bradley Nguyen,Consumer,Seattle,Washington,West,260.79,12,0.2,77.1793,4
CA-2014-103989,3/19/2014,3/21/2014,MC-17605,Matt Connell,Corporate,Lakeland,Florida,South,590.762,23,1.9,68.6353,7
CA-2014-104178,8/25/2014,8/29/2014,JM-15265,Janet Molinari,Corporate,Los Angeles,California,West,176.14,14,0.0,58.698,4
CA-2014-104269,3/1/2014,3/6/2014,DB-13060,Dave Brooks,Consumer,Seattle,Washington,West,457.568,2,0.2,51.4764,1
CA-2014-104283,6/27/2014,7/1/2014,LM-17065,Liz MacKendrick,Consumer,Southaven,Mississippi,South,616.14,10,0.0,76.1052,3
